37 1664213535 0,000000 0,000000 -101,000000 0,000000 0,000000
37 1664213536 0,000000 0,000000 -101,000000 0,000000 0,000000
37 1664213537 0,000000 0,000000 -101,000000 0,000000 0,000000
37 1664213538 0,000000 0,000000 -101,000000 0,000000 0,000000
37 1664213539 4,000000 0,200000 0,800000 0,800000 -20,200000
37 1664213540 4,000000 0,200000 1,600000 1,600000 -20,200000
37 1664213541 4,000000 0,200000 2,400000 2,400000 -20,200000
37 1664213542 4,000000 0,200000 3,200000 3,200000 -20,200000
37 1664213543 4,000000 0,200000 4,000000 4,000000 -20,200000
37 1664213544 1,000000 0,400000 4,400000 4,400000 -20,200000
37 1664213545 1,000000 0,400000 4,800000 4,800000 -20,200000
37 1664213546 1,000000 0,400000 5,200000 5,200000 -20,200000
37 1664213547 1,000000 0,400000 5,600000 5,600000 -20,200000
37 1664213548 1,000000 0,400000 6,000000 6,000000 -20,200000
37 1664213549 0,500000 0,800000 6,400000 6,400000 -20,200000
37 1664213550 0,500000 0,800000 6,800000 6,800000 -20,200000
37 1664213551 0,500000 0,800000 7,200000 7,200000 -20,200000
37 1664213552 0,500000 0,800000 7,600000 7,600000 -20,200000
37 1664213553 0,500000 0,800000 8,000000 8,000000 -20,200000
37 1664213554 0,000000 1,200000 8,000000 8,000000 -20,200000
37 1664213555 0,000000 1,200000 8,000000 8,000000 -20,200000
37 1664213556 0,000000 1,200000 8,000000 8,000000 -20,200000
37 1664213557 0,000000 1,200000 8,000000 8,000000 -20,200000
37 1664213558 0,000000 1,200000 8,000000 8,000000 -20,200000
37 1664213559 0,111111 1,800000 8,200000 8,200000 -20,200000
37 1664213560 0,111111 1,800000 8,400000 8,400000 -20,200000
37 1664213561 0,111111 1,800000 8,600000 8,600000 -20,200000
37 1664213562 0,111111 1,800000 8,800000 8,800000 -20,200000
37 1664213563 0,111111 1,800000 9,000000 9,000000 -20,200000
37 1664213564 0,076923 2,600000 9,200000 9,200000 -20,200000
37 1664213565 0,076923 2,600000 9,400000 9,400000 -20,200000
37 1664213566 0,076923 2,600000 9,600000 9,600000 -20,200000
37 1664213567 0,076923 2,600000 9,800000 9,800000 -20,200000
37 1664213568 0,076923 2,600000 10,000000 10,000000 -20,200000
37 1664213569 0,000000 3,600000 10,000000 10,000000 -20,200000
37 1664213570 0,000000 3,600000 10,000000 10,000000 -20,200000
37 1664213571 0,000000 3,600000 10,000000 10,000000 -20,200000
37 1664213572 0,000000 3,600000 10,000000 10,000000 -20,200000
37 1664213573 0,000000 3,600000 10,000000 10,000000 -20,200000
37 1664213574 0,105263 3,800000 10,400000 10,400000 -20,200000
37 1664213575 0,105263 3,800000 10,800000 10,800000 -20,200000
37 1664213576 0,105263 3,800000 11,200000 11,200000 -20,200000
37 1664213577 0,105263 3,800000 11,600000 11,600000 -20,200000
37 1664213578 0,105263 3,800000 12,000000 12,000000 -20,200000
37 1664213579 -0,045455 4,400000 11,800000 11,800000 -20,200000
37 1664213580 -0,045455 4,400000 11,600000 11,600000 -20,200000
37 1664213581 -0,045455 4,400000 11,400000 11,400000 -20,200000
37 1664213582 -0,045455 4,400000 11,200000 11,200000 -20,200000
37 1664213583 -0,045455 4,400000 11,000000 11,000000 -20,200000
37 1664213584 0,086957 4,600000 11,400000 11,400000 -20,200000
37 1664213585 0,086957 4,600000 11,800000 11,800000 -20,200000
37 1664213586 0,086957 4,600000 12,200000 12,200000 -20,200000
37 1664213587 0,086957 4,600000 12,600000 12,600000 -20,200000
